W3ALCD,Doing_Business_As,Restaurant_Address,Inspection_Date,Major_Violation_Improper_Holding_Temperature,Minor_Violation_Improper_Holding_Temperature,Major_Violation_Inadequate_Cooking,Minor_Violation_Inadequate_Cooking,Major_Violation_Personal_Hygiene,Minor_Violation_Personal_Hygiene,Major_Violation_Contaminated_Equipment,Minor_Violation_Contaminated_Equipment,Major_Violation_Unsafe_Food_Source,Minor_Violation_Unsafe_Food_Source,InDbDate
FA0001053,BERKELEY BOWL WEST #6-MEZZ KITCHEN,"920 HEINZ AVE
BERKELEY, CA
(37.85379375000008, -122.29024385299999)",11/12/2013,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000609,BERKELEY BOWL WEST #7-REST,"922 HEINZ AVE
BERKELEY, CA
(37.853770946000054, -122.29038518299996)",06/02/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000023,BERKELEY CHINESE COMM. CHURCH,"2117 ACTON ST
BERKELEY, CA
(37.868503780000026, -122.28401461699997)",04/29/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000778,BERKELEY CITY CLUB,"2315 DURANT AVE
BERKELEY, CA
(37.86736763000005, -122.26266283499996)",11/06/2013,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000478,BERKELEY CITY JAIL,"2171 MCKINLEY AVE
BERKELEY, CA
(37.86933457500004, -122.27388490799996)",,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000363,BERKELEY EMERGENCY FOOD & HOUSING,"2140 DWIGHT WY
BERKELEY, CA
(37.86411358600003, -122.26609548299996)",01/16/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000777,BERKELEY EMERGENCY FOOD & HOUSING,"2362 BANCROFT WY
BERKELEY, CA
(37.86828369400007, -122.26242661799995)",05/21/2013,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000596,BERKELEY ESPRESSO,"1900 SHATTUCK AVE
BERKELEY, CA
(37.873765099000025, -122.26862358899996)",01/22/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000124,BERKELEY FARMERS MARKET,"0 FARMERS MKT - SHATTUCK AVE
BERKELEY, CA
(37.86988305400007, -122.270536876)",09/04/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000814,BERKELEY FARMERS MARKET,"0 ADELINE ST
BERKELEY, CA
(37.85699246100006, -122.26812964399994)",09/09/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000114,BERKELEY FOOD PANTRY,"1600 SACRAMENTO ST
BERKELEY, CA
(37.87639691100003, -122.28274364999999)",07/13/2011,0,0,0,0,0,0,0,1,0,0,06/08/2015 05:00:01 AM
FA0000095,BERKELEY FOSTER FREEZE,"1199 UNIVERSITY AVE
BERKELEY, CA
(37.86950741800007, -122.28976335099998)",08/07/2011,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000067,BERKELEY HARDWARE INC.,"2145 UNIVERSITY AVE
BERKELEY, CA
(37.87239734000008, -122.26706339999998)",06/05/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000754,BERKELEY HILLEL,"2736 BANCROFT WY
BERKELEY, CA
(37.86948322000006, -122.25300556099995)",09/04/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000445,BERKELEY MARINA SPORTS CENTER,"225 UNIVERSITY AVE
BERKELEY, CA
(37.86373794300005, -122.31401427399999)",01/27/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001479,BERKELEY MINI MART,"2439 MARTIN LUTHER KING JR WAY
BERKELEY, CA
(37.86374600800008, -122.27209541399998)",,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000182,BERKELEY NATURAL GROCERY CO.,"1336 GILMAN ST
BERKELEY, CA
(37.88105328100005, -122.28850505999998)",05/08/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000007,BERKELEY OIL COMPANY 1099/1615,"950 UNIVERSITY AVE
BERKELEY, CA
(37.86841390200004, -122.29518368499998)",03/03/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001533,BERKELEY PINES SKILLED NURSING CENTER,"2223 ASHBY AVE
BERKELEY, CA
(37.855848269000035, -122.26259369799999)",,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000260,BERKELEY PRODUCE CENTER,"1500 SHATTUCK AVE
BERKELEY, CA
(37.87996668000005, -122.26936335399995)",11/25/2014,0,1,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001517,BERKELEY PUBLIC,"2518-C DURANT AVE
BERKELEY, CA
(37.867893071000026, -122.25817584999999)",01/21/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000325,BERKELEY REPERTORY THEATRE,"2015 ADDISON ST
BERKELEY, CA
(37.87100768800008, -122.26966294699997)",02/05/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
