BldgID,Meter ID,Item,Value,Start date,Meter End Date,ImpvtDate
70,129,Natural Gas,,03/27/2008,04/28/2008,10/19/2010
70,129,Natural Gas,,04/28/2008,05/28/2008,10/19/2010
70,129,Natural Gas,,05/28/2008,06/26/2008,10/19/2010
70,129,Natural Gas,,06/26/2008,07/28/2008,10/19/2010
70,129,Natural Gas,,07/28/2008,08/27/2008,10/19/2010
70,129,Natural Gas,,08/27/2008,09/26/2008,10/19/2010
70,129,Natural Gas,,09/26/2008,10/24/2008,10/19/2010
70,129,Natural Gas,,10/24/2008,11/24/2008,10/19/2010
70,129,Natural Gas,,11/24/2008,12/26/2008,10/19/2010
70,129,Natural Gas,,12/26/2008,01/27/2009,10/19/2010
70,129,Natural Gas,,01/27/2009,02/26/2009,10/19/2010
70,129,Natural Gas,,02/26/2009,03/30/2009,10/19/2010
70,129,Natural Gas,,03/30/2009,04/28/2009,10/19/2010
70,129,Natural Gas,,04/28/2009,05/29/2009,10/19/2010
70,129,Natural Gas,,05/29/2009,06/26/2009,10/19/2010
70,129,Natural Gas,,06/26/2009,07/29/2009,10/19/2010
70,129,Natural Gas,,07/29/2009,08/27/2009,10/19/2010
70,129,Natural Gas,,08/27/2009,09/25/2009,10/19/2010
70,129,Natural Gas,,09/25/2009,10/27/2009,10/19/2010
70,129,Natural Gas,,10/27/2009,11/24/2009,10/19/2010
70,129,Natural Gas,,11/24/2009,12/26/2009,10/19/2010
70,129,Natural Gas,,12/26/2009,01/27/2010,10/19/2010
70,129,Natural Gas,,01/27/2010,02/26/2010,10/19/2010
70,129,Natural Gas,,02/26/2010,03/31/2010,10/19/2010
70,129,Natural Gas,,03/31/2010,04/29/2010,10/19/2010
70,129,Natural Gas,,04/29/2010,05/28/2010,10/19/2010
70,129,Natural Gas,,05/28/2010,06/29/2010,10/19/2010
70,129,Natural Gas,,06/29/2010,07/28/2010,10/19/2010
70,129,Natural Gas,,07/28/2010,08/27/2010,10/19/2010
70,129,Natural Gas,,08/27/2010,09/28/2010,10/19/2010
70,129,Natural Gas,,09/28/2010,10/27/2010,10/19/2010
70,129,Natural Gas,,10/27/2010,11/29/2010,10/19/2010
70,129,Natural Gas,,11/29/2010,12/28/2010,10/19/2010
70,129,Natural Gas,,12/28/2010,01/27/2011,10/19/2010
70,129,Natural Gas,,01/27/2011,02/28/2011,10/19/2010
