OBJECTID,NAME,POLY_TYP,MBL_UNIT,Address,Hyperlink,Shape_area,Shape_len
59,John Hinkel Park,Park,1,41 Somerset Avenue bet Southampton and San Diego,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12628,19190.81574510000064,776.850251063999963
60,M L King Jr.  Civic Center Park,Park,2,2151 Martin Luther King Jr. Way,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12700,11338.341931099999783,639.890646571000048
61,Monterey - Colusa Park,Park,1,Monterey - Colusa Park,N/A,460.089467684999988,106.389222380000007
62,Monkey Island Park,Park,2,Claremont Boulevard at Oak Knoll Terrace,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12704,1160.736486380000088,239.744913846000003
63,Mortar Rock Park,Park,1,901 Indian Rock Avenue at San Diego Road,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12708,1701.009906199999932,158.523897258999995
64,North Transition Parkway - Gardens,Park,1,North Transition Parkway - Gardens,N/A,2368.835286989999986,322.546759396000027
65,Ohlone Greenway - Hopkins to Gilman,Park,1,Ohlone Park East at 1933 Hearst Ave,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12716,4029.232797380000193,670.577085044
66,Ohlone Greenway - Gilman to Santa Fe,Park,1,Ohlone Park West at 1701 Hearst Avenue,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12716,2014.104512310000018,252.457614583999998
67,Ohlone Greenway - Santa Fe to Albany,Park,1,on Hearst Ave from Milvia to Sac Street,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12716,1184.74066414999993,173.339825899000004
68,Oak Park,Park,2,35 Domingo Avenue and El Camino Real,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12714,1245.596355079999967,149.343150707999996
69,Ohlone Park - MLK to Sacramento,Park,1,on Hearst Ave from Milvia to Sac Street,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12716,38102.178004300003522,1917.721265890000041
73,Remillard Park,Park,1,80 Poppy Lane at Keeler Avenue and Miller Avenue,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12788,7637.517245670000193,508.978006219999997
74,Thousand Oaks School Park,Park,SD,1780 Tacoma Ave. at Ensenada Ave,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12922,5402.759258789999876,302.678239999000027
75,Willard Park,Park,2,"2730 Hillegass Avenue,  at Derby Street",http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12952,12073.869894600000407,446.954585226999995
76,San Pablo Park,Park,3,2800 Park Street between Russell and Ward Streets,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12844,45842.832876400003443,917.15628377400003
77,Malcolm X School Park,Park,SD,"3081 King Street, near Ashby Ave and Ellis",http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12692,3640.424109219999991,244.441817012000001
78,Le Conte School Park,Park,SD,"2221 Russell Street, between Ellsworth and Fulton",http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12668,4387.578028789999735,286.155649745999995
79,Washington School Park,Park,SD,"2300 Martin Luther King Jr. Way, 94704",http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12946,2470.694417409999915,203.912410698000002
80,Rosa Parks School Park,Park,SD,"920 Allston Way, 94710",http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12794,15161.782718500000556,588.002649952999946
81,John Muir School Park,Park,SD,"2955 Claremont Ave., 94705",http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12636,20701.011152399998537,603.452146956999968
82,Terrace View Park,Park,1,1421 Queens Road near Fairlawn Drive,http://www.ci.berkeley.ca.us/ContentDisplay.aspx?id=12912,3706.698313270000199,258.312320716999977
