Semester Year Name,Semester Year Letter Cd Concat,Semester Nm,Ungrad Grad Cd,All Major Acad Hier Level Nm,Reporting Clg School Short Nm,Academic Division Short Nm,Academic Department Short Nm,Student Headcount,Prorated Student Major Cnt Sum,Student Headcount-DEC,Academic Yr
2005 Fall,2005 D,Fall,U,All,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,220,216,220,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Natural Resources,Clg of Natural Resources,Other Clg of Natural Res Pgms,274,274,274,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Natural Resources,Clg of Natural Resources,Plant & Microbial Biology,180,176.5,180,2005-06
2005 Fall,2005 D,Fall,U,All,Haas School of Business,Haas School of Business,Business,653,563.6666667,653,2005-06
2005 Fall,2005 D,Fall,U,All,Other EVCP Programs,Other EVCP Programs,Other EVCP Programs,48,48,48,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,316,294,316,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Chemistry,Clg of Chemistry,Chemistry,441,435.5,441,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Engineering,Clg of Engineering,Bioengineering,271,264.3333333,271,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,358,357.5,358,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,874,855,874,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Engineering,Clg of Engineering,Engineering Science,258,256,258,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,101,99,101,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Engineering,Clg of Engineering,Materials Science & Eng,139,94.83333333,139,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Engineering,Clg of Engineering,Mechanical Engineering,568,544.5,568,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Engineering,Clg of Engineering,Nuclear Engineering,54,42,54,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Environmental Design,Clg of Environmental Design,Architecture,540,532.5,540,2005-06
